period_days,planet_radius_earth,keplerports_pipeline_including_window,injection_calibrated_pipeline_including_window,difference,absolute_difference
50,0.5,0,2.21272282979e-07,2.21272282979e-07,2.21272282979e-07
100,0.5,0,6.41051736154e-08,6.41051736154e-08,6.41051736154e-08
200,0.5,0,9.39590385817e-09,9.39590385817e-09,9.39590385817e-09
365.25,0.5,0,1.19302780111e-09,1.19302780111e-09,1.19302780111e-09
500,0.5,0,3.51862506193e-10,3.51862506193e-10,3.51862506193e-10
50,0.75,0,6.91502616209e-05,6.91502616209e-05,6.91502616209e-05
100,0.75,0,1.99342294869e-05,1.99342294869e-05,1.99342294869e-05
200,0.75,0,2.92289814187e-06,2.92289814187e-06,2.92289814187e-06
365.25,0.75,0,3.71015767565e-07,3.71015767565e-07,3.71015767565e-07
500,0.75,0,1.09424965335e-07,1.09424965335e-07,1.09424965335e-07
50,1,0.000419500843133,0.00407434834175,0.00365484749861,0.00365484749861
100,1,0,0.00117480502369,0.00117480502369,0.00117480502369
200,1,0,0.000172608571512,0.000172608571512,0.000172608571512
365.25,1,0,2.19081159641e-05,2.19081159641e-05,2.19081159641e-05
500,1,0,6.46162220268e-06,6.46162220268e-06,6.46162220268e-06
50,1.5,0.612619718361,0.430838247791,-0.18178147057,0.18178147057
100,1.5,0.22662433293,0.234208334837,0.00758400190654,0.00758400190654
200,1.5,0.0309388616408,0.0503677451354,0.0194288834946,0.0194288834946
365.25,1.5,0.00252443302751,0.00687659712382,0.00435216409631,0.00435216409631
500,1.5,0.000460010863614,0.00204432207464,0.00158431121103,0.00158431121103
50,2,0.925773230088,0.850307481312,-0.0754657487762,0.0754657487762
100,2,0.849223857711,0.791883510927,-0.0573403467843,0.0573403467843
200,2,0.667102358083,0.605764443435,-0.0613379146488,0.0613379146488
365.25,2,0.357609139117,0.255177403497,-0.102431735621,0.102431735621
500,2,0.152015755995,0.103309441113,-0.0487063148818,0.0487063148818
